iter	Passed	Remaining
623	6740	4061
624	6758	4054
625	6776	4048
626	6796	4043
627	6814	4036
628	6832	4029
629	6850	4023
630	6866	4015
631	6882	4007
632	6899	4000
633	6914	3991
634	6930	3983
635	6947	3976
636	6966	3970
637	6984	3963
638	7003	3956
639	7021	3949
640	7039	3942
641	7058	3935
642	7074	3928
643	7091	3919
644	7107	3911
645	7123	3903
646	7140	3895
647	7157	3888
648	7176	3881
649	7196	3875
650	7214	3867
651	7232	3860
652	7251	3853
653	7269	3846
654	7286	3838
655	7305	3831
656	7322	3823
657	7338	3814
658	7354	3805
659	7373	3798
660	7392	3791
661	7411	3784
662	7430	3777
663	7449	3769
664	7467	3761
665	7483	3753
666	7498	3743
667	7514	3734
668	7531	3726
669	7547	3717
670	7564	3709
671	7582	3701
672	7601	3693
673	7620	3685
674	7639	3678
675	7658	3670
676	7676	3662
677	7694	3654
678	7724	3651
679	7742	3643
680	7756	3633
681	7775	3625
682	7794	3617
683	7811	3608
684	7830	3600
685	7848	3592
686	7866	3584
687	7885	3575
688	7902	3567
689	7919	3557
690	7936	3549
691	7955	3540
692	7973	3532
693	7992	3523
694	8010	3515
695	8028	3506
696	8048	3498
697	8067	3490
698	8086	3482
699	8104	3473
700	8121	3464
701	8139	3455
702	8156	3446
703	8174	3437
704	8191	3427
705	8209	3418
706	8227	3409
707	8246	3400
708	8265	3392
709	8285	3384
710	8304	3375
711	8322	3366
712	8339	3356
713	8357	3347
714	8375	3338
715	8393	3329
716	8412	3320
717	8431	3311
718	8449	3302
719	8468	3293
720	8486	3283
721	8504	3274
722	8521	3264
723	8538	3254
724	8553	3244
725	8570	3234
726	8586	3224
727	8604	3215
728	8622	3205
729	8641	3196
730	8660	3187
731	8678	3177
732	8696	3167
733	8712	3157
734	8729	3147
735	8746	3137
736	8763	3127
737	8780	3117
738	8796	3106
739	8813	3096
740	8832	3087
741	8852	3077
742	8870	3068
743	8889	3058
744	8908	3049
745	8922	3038
746	8939	3027
747	8956	3017
748	8972	3006
749	8989	2996
750	9005	2985
751	9022	2975
752	9040	2965
753	9059	2955
754	9076	2945
755	9095	2935
756	9114	2925
757	9132	2915
758	9148	2904
759	9164	2894
760	9178	2882
761	9194	2871
762	9210	2860
763	9227	2850
764	9245	2840
765	9263	2829
766	9281	2819
767	9300	2809
768	9318	2799
769	9336	2788
770	9353	2778
771	9369	2767
772	9385	2756
773	9402	2745
774	9419	2734
775	9436	2724
776	9451	2712
777	9470	2702
778	9489	2692
779	9507	2681
780	9525	2671
781	9542	2660
782	9558	2649
783	9574	2637
784	9590	2626
785	9606	2615
786	9623	2604
787	9640	2593
788	9659	2583
789	9675	2571
790	9693	2561
791	9712	2550
792	9731	2540
793	9747	2528
794	9763	2517
795	9778	2506
796	9794	2494
797	9810	2483
798	9826	2472
799	9843	2460
800	9860	2449
801	9877	2438
802	9895	2427
803	9913	2416
804	9930	2405
805	9949	2394
806	9965	2383
807	9981	2371
808	9996	2360
809	10012	2348
810	10026	2336
811	10042	2325
812	10060	2314
813	10079	2303
814	10097	2292
815	10116	2281
816	10132	2269
817	10148	2258
818	10162	2246
819	10178	2234
820	10194	2222
821	10210	2211
822	10222	2198
823	10235	2186
824	10249	2174
825	10267	2162
826	10285	2151
827	10302	2140
828	10320	2128
829	10339	2117
830	10357	2106
831	10369	2093
832	10380	2081
833	10396	2069
834	10412	2057
835	10427	2045
836	10442	2033
837	10459	2021
838	10477	2010
839	10495	1999
840	10514	1987
841	10532	1976
842	10550	1964
843	10568	1953
844	10585	1941
845	10602	1929
846	10618	1918
847	10634	1906
848	10649	1894
849	10665	1882
850	10682	1870
851	10701	1858
852	10721	1847
853	10739	1836
854	10759	1824
855	10777	1813
856	10795	1801
857	10811	1789
858	10827	1777
859	10844	1765
860	10860	1753
861	10875	1741
862	10894	1729
863	10912	1717
864	10929	1705
865	10947	1693
866	10966	1682
867	10985	1670
868	11002	1658
869	11016	1646
870	11032	1633
871	11047	1621
872	11064	1609
873	11081	1597
874	11100	1585
875	11120	1574
876	11135	1561
877	11153	1549
878	11172	1537
879	11191	1526
880	11209	1514
881	11227	1502
882	11245	1490
883	11263	1477
884	11281	1465
885	11300	1454
886	11318	1441
887	11335	1429
888	11354	1417
889	11372	1405
890	11390	1393
891	11408	1381
892	11424	1368
893	11439	1356
894	11453	1343
895	11467	1331
896	11483	1318
897	11501	1306
898	11520	1294
899	11537	1281
900	11555	1269
901	11574	1257
902	11593	1245
903	11610	1232
904	11626	1220
905	11642	1207
906	11658	1195
907	11674	1182
908	11692	1170
909	11710	1158
910	11728	1145
911	11746	1133
912	11762	1120
913	11782	1108
914	11800	1096
915	11817	1083
916	11833	1071
917	11850	1058
918	11866	1045
919	11881	1033
920	11897	1020
921	11916	1008
922	11935	995
923	11952	983
924	11970	970
925	11989	958
926	12008	945
927	12026	933
928	12042	920
929	12058	907
930	12075	894
931	12090	882
932	12107	869
933	12121	856
934	12138	843
935	12157	831
936	12176	818
937	12194	806
938	12213	793
939	12228	780
940	12244	767
941	12261	754
942	12277	742
943	12292	729
944	12309	716
945	12327	703
946	12346	690
947	12364	678
948	12382	665
949	12401	652
950	12418	639
951	12435	627
952	12452	614
953	12468	601
954	12483	588
955	12499	575
956	12515	562
957	12533	549
958	12553	536
959	12571	523
960	12592	511
961	12611	498
962	12630	485
963	12647	472
964	12662	459
965	12679	446
966	12695	433
967	12712	420
968	12730	407
969	12748	394
970	12767	381
971	12786	368
972	12804	355
973	12823	342
974	12840	329
975	12856	316
976	12872	303
977	12888	289
978	12904	276
979	12920	263
980	12936	250
981	12954	237
982	12972	224
983	12990	211
984	13009	198
985	13027	184
986	13044	171
987	13060	158
988	13075	145
989	13091	132
990	13105	119
991	13121	105
992	13137	92
993	13154	79
994	13172	66
995	13189	52
996	13208	39
997	13227	26
998	13246	13
999	13263	0
